Categoria,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
circle,0.00136654,0.00224483,0.00180001,0.00293769,0.0016071,0.00351144,0.00151779,0.00143675,0.00400249,0.00149503,0.00134848,0.00443414,0.00169459,0.0017231,0.00138074,0.0048222,0.00217179,0.00208226,0.00152579,0.00517778,0.00258865,0.00252514,0.00247796,0.00174577,0.00550898
circle,0.0179609,0.0310824,0.0281301,0.0410063,0.0215808,0.0486365,0.00724454,0.0132911,0.0545789,0.00327484,0.00452595,0.0592584,0.0102932,0.00947643,0.00427065,0.0629814,0.0108219,0.0122561,0.0123174,0.0659728,0.00573357,0.00785702,0.012262,0.0196897,0.0683998
circle,0.00152953,0.00254871,0.0021402,0.00336339,0.00187059,0.00401928,0.00131998,0.00139499,0.00454811,0.000407285,0.000808163,0.00497365,0.0012867,0.000598211,0.000351152,0.00531481,0.00198821,0.00125941,0.000781914,0.00558691,0.00176836,0.00228494,0.00174648,0.00146974,0.00580242
circle,0.00930872,0.0168716,0.0187478,0.0233329,0.0194397,0.0289626,0.0169076,0.0191301,0.0339222,0.0141273,0.0180606,0.038322,0.00927319,0.0112707,0.0164336,0.0422438,0.00578793,0.00861995,0.0144387,0.0457519,0.00545859,0.00532949,0.00666395,0.0122856,0.0488988
circle,0.0154319,0.027893,0.0303159,0.0383057,0.0294077,0.0469872,0.0193226,0.0251817,0.0541582,0.00745415,0.0186859,0.0600658,0.0130829,0.00920493,0.0116268,0.0649493,0.0200356,0.016671,0.00706755,0.0690147,0.0139973,0.0169246,0.0205258,0.00984656,0.0724297
circle,0.00505117,0.00944146,0.0113875,0.0131815,0.0117037,0.0163207,0.00807313,0.0107377,0.0189151,0.00433638,0.00894966,0.0210281,0.00727368,0.00585592,0.00707368,0.022724,0.0124265,0.0103255,0.00630792,0.0240646,0.0143603,0.0148298,0.0142767,0.00757293,0.0251067
circle,0.00027582,0.000659022,0.00126271,0.00104352,0.00165828,0.00142793,0.00184679,0.00205258,0.00181393,0.00225993,0.0024628,0.00220255,0.00297071,0.00273037,0.0028864,0.00259389,0.00349806,0.0031962,0.00331569,0.0029875,0.00366106,0.00387028,0.00362305,0.00374289,0.00338263
circle,0.00526661,0.00923241,0.00952583,0.0126628,0.0102876,0.0157386,0.010938,0.0108402,0.0185383,0.0108286,0.0110847,0.0211032,0.00829152,0.0100968,0.0109854,0.0234589,0.00522932,0.00876846,0.0105423,0.0256239,0.0014664,0.00201418,0.00699763,0.00978152,0.0276135
circle,0.0337215,0.0548929,0.0365007,0.0687218,0.0167146,0.0781,0.0159928,0.0127258,0.0847065,0.0215033,0.0259765,0.0895413,0.0121863,0.0175754,0.0384928,0.093213,0.0082377,0.0101849,0.048605,0.096099,0.0126333,0.0130957,0.00969544,0.0565973,0.0984386
circle,0.000401036,0.000530395,7.33433e-05,0.000578566,0.000406359,0.000571829,0.000607954,0.000767619,0.000531388,0.000829973,0.0010862,0.000468971,0.00114245,0.000918219,0.00137274,0.000391181,0.0011823,0.00100904,0.00163861,0.000302186,0.00122867,0.00146835,0.00113529,0.00189089,0.000205227
circle,0.0124795,0.023495,0.0288863,0.033158,0.0311145,0.0416368,0.0270438,0.0312151,0.0490517,0.0231929,0.029808,0.0555208,0.0184134,0.0204736,0.0276481,0.0611577,0.0183475,0.020453,0.0255281,0.0660679,0.0211441,0.0212466,0.0226997,0.024225,0.0703464
circle,0.0024135,0.00405678,0.00315574,0.0051293,0.00227457,0.00586248,0.00295691,0.0026897,0.00639677,0.00319657,0.00362545,0.0068083,0.0018381,0.00268802,0.00452793,0.00714011,0.00122535,0.00203617,0.00530571,0.00741817,0.00150545,0.0012338,0.00151273,0.00596486,0.00765916
circle,0.0121748,0.0218707,0.0231944,0.0298584,0.0220789,0.0365192,0.0150715,0.0192338,0.0421291,0.00843884,0.0153591,0.04689,0.0018995,0.00312806,0.0109065,0.0509573,0.00482049,0.00265281,0.00626079,0.0544536,0.00649071,0.00693671,0.00545837,0.00234559,0.0574778
circle,0.000470077,0.000738559,0.000462367,0.000936218,0.000327255,0.00108981,0.000337101,0.000227875,0.00121179,0.000316873,0.000242812,0.00130908,0.000509495,0.000437596,0.000385832,0.00138632,0.000883889,0.000623801,0.0005833,0.00144692,0.00114046,0.0011642,0.000813895,0.000801933,0.00149364
circle,0.000102582,0.000241545,0.000428919,0.000362038,0.000488971,0.000483937,0.000538843,0.000626569,0.00060907,0.000837029,0.000780588,0.000736838,0.00118384,0.00101987,0.000934629,0.000866237,0.00110611,0.00114518,0.00108132,0.000996252,0.000825011,0.00105874,0.00122542,0.00121671,0.00112601
circle,0.0114581,0.0210094,0.0235801,0.028975,0.0230547,0.0356904,0.0159346,0.020712,0.0413814,0.0092869,0.0171305,0.0462243,0.00360002,0.00424016,0.0128568,0.0503611,0.00741343,0.00533628,0.00847121,0.053908,0.0106998,0.0103944,0.00891208,0.00524756,0.0569607
circle,0.0186005,0.032809,0.0317475,0.0437662,0.0256493,0.0522608,0.00973358,0.0171394,0.058885,0.00787984,0.00878994,0.0640881,0.0158448,0.0151805,0.00776136,0.06821,0.0158842,0.0189555,0.0150576,0.0715066,0.00817833,0.0109998,0.0191822,0.0230702,0.07417
circle,0.000209404,0.000548451,0.00122743,0.000888127,0.00149797,0.00120892,0.00110894,0.00162523,0.00150381,0.00084623,0.0016493,0.00177425,0.000952032,0.00076187,0.00163181,0.00202415,0.00120486,0.000917224,0.0016117,0.00225762,0.00146452,0.00156272,0.00112357,0.00160863,0.0024782
circle,2.09367e-05,4.32063e-05,6.7268e-05,6.50383e-05,8.824e-05,8.70216e-05,0.000109232,0.000111431,0.000109156,0.000136861,0.000135067,0.000131439,0.000167427,0.000162258,0.000159143,0.000153872,0.000190689,0.000188363,0.000183653,0.000176452,0.000214998,0.00021904,0.000215164,0.000208595,0.000199179
